##################################################;;;;;;;;;;;;;;x,,,,,,,,
# DvD FanFork Localization;;;;;;;;;;;;;;x,,,,,,,,
##################################################;;;;;;;;;;;;;;x,,,,,,,,
### TEMPLATE #####  Venice Expansion (J Master) #####;;;;;;;;;;;;;;x,,,,,,,,
#####lessons_of_the_german_revolution;Lessons from the German Revolution;;;;;;;;;;;;;
#####lessons_of_the_german_revolution_desc;The German Revolution was a event that took place in Frankfurt in the late 18th Century that had been utterly crushed after several catastrophic failures from its leadership. As such, Liberalism has never been seen as important as it was in OTL and unless another revolution were to occur it may never be.;;;;;;;;;;;;;
#####500000.T;Venice wants to buy Durrës;;;;;;;;;;;;x
#####500000.D;The city of Durrës has a history of Venetian control. Interspersed with Serbian, Epirote, Anjou and Albanian control, Venice controled the city. Gained after the Fourth Crusade, but lost soon after. In 1392 the city was recaptured and only being lost in 1501 when the expanding Ottomans conquered the city. With the Ottomans gone, Venice is now looking to regain the city. Whilst we do need the money, it is clear that the loss of our major port would mean the influence of Venice upon our country would become even more massive. Were we to accept, soon, we will loose our independence all together.;;;;;;;;;;;x
#####500000.A;It would be useless to refuse;;;;;;;;;;;x
#####500000.B;Come and take it!;;;;;;;;;;;x
#####KMT_absolute_monarchy;Second Chinese Empire;;;;;;;;;;;;;x,,,,,,,,
#####TRN;Opstalia;;;;;;;;;;;;;;;;;;;;;;;;;
####################################################################################################### BELOW THIS LINE #########################################################################################################;;;;;;;;;;;;;;x,,,,,,,,
war_justification_blocked;Manual Justification Blocked;;;;;;;;;;;;;x,,,,,,,,
war_justification_blocked_desc;§RThis country is stuck in a geopolitical circumstance where there is a status quo that prevents random wars. Wait for future events to unlock manual justification!§W;;;;;;;;;;;;;x,,,,,,,,
landlocked_nation;Landlocked Nation;;;;;;;;;;;;;x,,,,,,,,
landlocked_nation_desc;§RThis country has no access to the oceans and thus has dramatically higher import costs alongside a complete lack of immigration.§W;;;;;;;;;;;;;x,,,,,,,,
the_fugger_fund_title;Partner with the Fuggers;;;;;;;;;;;;;x,,,,,,,, 
the_fugger_fund_desc;The Fuggers are a Danubian banking clan of enormous power who built their fortune on copper monopolies and the Tyrolean gold mines. Later generations used these funds to enter the banking business, eclipsing the Medicis in the 16th century. Since then they have become the go-to lender in Germany. The Fuggers have long been involved in the slave trade, helping Scandinavian and German merchants break the Hansa's Baltic stranglehold. Eventually the Fuggers became princes of the Empire. In short, the Fuggers are wealth itself. We need capital to start up our heavy industries, and the Fuggers are eager to expand into such businesses. With the right incentives - including non-competitive contracts to establish arms factories - the Fuggers can put their money towards building a stronger Germany. Perhaps this style of private-public industrial partnerships will become institutionalized...;;;;;;;;;;;;;x,,,,,,,,
Karnegove_works;The Karnegove Works;;;;;;;;;;;;;
hurricane_devastation;Hurricane Devastation;;;;;;;;;;;;;x,,,,,,,,
##### Chancy ####;;;;;;;;;;;;;;x,,,,,,,,
DUAF1.T;The Binioù;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,
DUAF1.D;It was shortly after noon today when the Royal Court Orchestra participated in the Viel-Castel Festival in Angoulême, the birth- and deathplace of the Anglois composer Baron Auguste de Viel-Castel. His twelve symphonies, various individual pieces of military marches, and an unfinished opera have been praised by laymen and professionals alike and are credited to have fully established the role of the Binioù Cantorbérien, a special bagpipe which stands at the end of a centuries-spanning evolution of this instrument within the Dual Monarchy, combining various pipe traditions from Brittany and Ireland. The festival has brought this instrument into public focus for its pleasant sound and versatile functionality. Indeed, Edouard Pichon, a contemporary composer from Londres, enthusiastically reacted: "Every generation gets a chance to change the world of music; he [Viel-Castel] realized it for us. For a nation without melody is a nation without soul, and our nation's soul is one of vitality, carried by the purity and humbleness of this instrument of ours, the Binioù...";;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,
DUAF.A;"...May its Legacy grow evermore!";;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,
CHFL1.T;Account on civilization in the West : The Incans;;;;;;;;;;;;;;x,,,,,,,, 
CHFL1.D;”Although among the most uncivilized and barbarous of all the nations that dotted the vast continent of Ameriga, there was a certain gleam to the port city of Uraycusta that stood unabated from the dirt and grime that otherwise covered its inhabitants. The city was still slowly growing, depicted and showcased as a ‘New Cusco’. The city despite its obvious underpopulation was obscenely detailed, with buildings constructed in a careful manner, rather than fighting against the natural landscape of their surroundings, the Incans have built a city more complex than any other Native design I have seen. Its districts are spread in a gridlike pattern, with each area designed specifically for a particular industry. My journey took an unexpected turn with the arrival of the local official governing the city, a bonafide prince of the ruling Incan dynasty. He was obviously quite delighted with my presence, as he gave me my very own servant to take with me after my leave from the port. The only thing he asked in return was that I share my discoveries on the Inca, and give him some of my old, outdated manuscripts[…] My companion, Waman Poma, spends much of his time every evening tying a rope into intricate knots, colored and of varied orientation. When I asked the purpose of this, he told me it was a traditional method of remembering his home. It seems, despite their great organization, the Inca possess a spiritual side as well.” \n\n -Extract from the account of Hughes Chancy, Anvers journalist;;;;;;;;;;;;;;x,,,,,,,,
CHFL1.A;A spirituous, if barbarous bunch;;;;;;;;;;;;;;x,,,,,,,,
CHFL2.T;Account on civilization in the West : Caladero;;;;;;;;;;;;;;x,,,,,,,, 
CHFL2.D;”The Duke of Tupac has welcomed my helper Poma and I with much enthusiasm, after assuring him that Poma was nothing but my trusted aide. It seems all is not well in Quito. My time here was spent trying to sort through the mess that is Caladeran politics. There seems to be no end to the various factions, cliques, and groups that all have attempted to either go against the Duke or convince him to join a specific side. Although nominally still under the King of Spain, there seems to be no love for Spanish rule among the locals[…] My aide Poma has taken a particular interest in the forward defensive fortifications of the Caladerans dotting the border with their fierce foreign rival, the Inca. Assumedly he has never seen such intricate and defined structures like these, as he has taken to drawing them with particular detail..\n\n -Extract from the account of Hughes Chancy, Anvers journalist;;;;;;;;;;;;;;x,,,,,,,,
CHFL2.A;Bayonets fixed, they charge at their future unabated.;;;;;;;;;;;;;;x,,,,,,,,
CHFL3.T;Account on civilization in the West : Yokohama;;;;;;;;;;;;;;x,,,,,,,, 
CHFL3.D;”Finally arriving at more familiar territory, I was glad to spot Burgundian colonial troops stationed in the local garrison at Yokohama. I saw the noble flag of Burgundy flying bravely as we entered the port from our long journey across the vast Pacific. My helper Poma has continued his complaints of nausea from the sea, much to my amusement. The local Burgundians were amazed and delighted to hear of my expeditions and were eager to showcase the treaty port that was the city. Yokohama was but a small fishing village before the Burgundians arrived here, establishing a grain of civilization. The locals are confused and amazed at the influx of European culture into their nation. There even seems to be talk of creating European-like sports leagues here! It seems in Asia there is still a modicum of decency to see.\n-Extract from the account of Hughes Chancy, Anvers journalist ;;;;;;;;;;;;;;x,,,,,,,,
CHFL3.A;A noble outpost among seas both literal and figurative!;;;;;;;;;;;;;;x,,,,,,,,
CHFL4.T;Account on civilization in the West : Osaka;;;;;;;;;;;;;;x,,,,,,,, 
CHFL4.D;”The Jewel of the Japanese awaited me in Osaka. My helper Poma and I were able to catch a tugboat from Yokohama that was delivering fish to Osaka’s markets. The city was truly the center of the arts for Japanese culture, its streets were dotted with markets selling both beautiful artisan crafts and paintings the likes of which I have never seen in quite that particular way. The bustling and busy nature of the city is more like London or Paris than any traditional sleepy Asian city. The people are boisterous and seem to have a somewhat rivalrous relationship with other nearby cities and the people within them[…] In other news, my companion has continued his knot tying, which has begun to grow more feverish with intent as well as a hint of nervousness, as we intend to return back across the Pacific.”\n\n -Extract from the account of Hughes Chancy, Anvers journalist;;;;;;;;;;;;;;x,,,,,,,,
CHFL4.A;Perhaps these peoples have hope yet.;;;;;;;;;;;;;;x,,,,,,,,
CHFL5.T;Account on civilization in the West : Sanbao;;;;;;;;;;;;;;x,,,,,,,, 
